gender,signup_date,state_code,acquisition_channel
M,2026-06-20,IL,google_ads
M,2022-08-12,LA,meta
M,2024-07-24,CT,referral
F,2026-02-04,PA,meta
F,2024-01-14,TX,google_ads
F,2023-02-24,CA,organic
F,2025-07-13,MN,organic
F,2023-10-23,FL,organic
M,2023-09-04,IL,organic
F,2023-05-30,CA,referral
F,2026-02-06,MA,google_ads
M,2024-07-12,TX,google_ads
F,2025-05-07,FL,organic
M,2022-09-09,FL,organic
M,2023-04-24,FL,google_ads
F,2025-09-04,CA,meta
M,2023-08-26,CA,referral
M,2024-06-12,OH,meta
M,2025-10-17,KS,organic
F,2024-11-09,IN,google_ads
F,2025-01-21,WA,referral
M,2024-11-14,MO,organic
M,2024-06-15,CO,meta
M,2023-11-03,GA,google_ads
M,2024-02-02,LA,organic
M,2024-12-15,FL,google_ads
M,2022-10-22,CA,organic
F,2023-05-15,FL,referral
M,2023-12-11,KY,referral
M,2022-10-22,CA,meta
M,2024-05-15,OH,referral
F,2022-08-22,OK,referral
F,2025-11-09,NY,meta
M,2025-03-23,KS,meta
M,2022-10-30,WV,referral
F,2023-10-17,AL,google_ads
F,2025-07-30,IN,organic
F,2024-06-24,VA,organic
M,2024-12-04,NM,organic
F,2025-04-25,CA,google_ads
M,2022-12-30,DC,organic
M,2026-01-23,KY,organic
M,2022-10-05,PA,google_ads
F,2024-05-18,VA,google_ads
F,2024-03-19,IA,organic
M,2022-11-23,CA,referral
M,2025-12-08,OK,organic
F,2025-05-07,TX,meta
M,2025-10-10,GA,meta
M,2024-06-18,CA,google_ads
M,2024-07-01,VA,organic
F,2023-07-17,TX,google_ads
F,2024-10-16,AL,referral
M,2024-01-24,CA,meta
F,2026-04-08,FL,google_ads
F,2022-08-29,HI,organic
F,2023-09-04,FL,meta
F,2025-04-06,VA,organic
M,2024-05-06,FL,referral
M,2026-03-10,MI,google_ads
F,2026-04-16,OK,meta
M,2025-02-01,MI,meta
F,2023-08-22,OH,meta
F,2025-10-02,MI,meta
F,2024-02-05,MD,organic
F,2023-01-27,NY,google_ads
M,2024-11-06,MN,organic
M,2024-11-29,FL,google_ads
F,2023-08-16,TX,referral
F,2024-01-18,TX,organic
M,2025-06-16,NY,referral
F,2024-08-12,NY,referral
M,2024-04-17,MN,referral
F,2026-01-13,MN,google_ads
M,2022-10-14,AL,google_ads
F,2025-12-15,CA,google_ads
M,2024-04-11,MA,meta
F,2023-12-09,HI,meta
F,2023-04-29,HI,google_ads
F,2024-07-02,NY,meta
F,2025-05-23,IL,google_ads
M,2025-09-06,FL,meta
M,2024-01-30,WV,google_ads
F,2024-03-23,CA,organic
M,2022-08-12,VA,referral
F,2024-06-11,AZ,meta
F,2025-09-14,AL,organic
F,2025-11-11,AK,organic
F,2023-01-12,AR,organic
M,2024-04-15,NY,organic
M,2025-09-01,MN,referral
F,2025-05-27,CA,google_ads
M,2024-03-10,OH,organic
M,2025-02-22,NY,meta
F,2022-09-11,NV,referral
M,2022-11-04,TX,organic
M,2024-02-24,FL,meta
F,2023-11-18,TX,referral
M,2025-09-01,ID,organic
F,2024-08-17,TX,google_ads
M,2025-01-20,OR,google_ads
M,2024-06-09,NJ,google_ads
